Number,CenterX,CenterY,ColorR,ColorG,ColorB,Selected,Colonne,Ligne,Emplacement,PairImpairLigne,Vertex1X,Vertex1Y,Vertex2X,Vertex2Y,Vertex3X,Vertex3Y,Vertex4X,Vertex4Y,Vertex5X,Vertex5Y,Vertex6X,Vertex6Y,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6;;;;;;;;;;
1,40,70,0,228,48,False,1,1,CoinHG,False,74,90,40,109,6,90,6,51,40,31,74,50,0,2,34,33,0,0;;;;;;;;;;
2,96,36,200,200,200,False,2,1,BordH,False,130,56,96,75,62,56,62,17,96,-3,130,16,0,0,3,34,1,0;;;;;;;;;;
3,152,70,0,228,48,False,3,1,BordH,False,186,90,152,109,118,90,118,51,152,31,186,50,0,4,36,35,34,2;;;;;;;;;;
4,209,36,200,200,200,False,4,1,BordH,False,243,56,209,75,175,56,175,17,209,-3,243,16,0,0,5,36,3,0;;;;;;;;;;
5,265,70,0,228,48,False,5,1,BordH,False,299,90,265,109,231,90,231,51,265,31,299,50,0,6,38,37,36,4;;;;;;;;;;
6,321,36,200,200,200,False,6,1,BordH,False,355,56,321,75,287,56,287,17,321,-3,355,16,0,0,7,38,5,0;;;;;;;;;;
7,377,70,0,228,48,False,7,1,BordH,False,411,90,377,109,343,90,343,51,377,31,411,50,0,8,40,39,38,6;;;;;;;;;;
8,433,36,200,200,200,False,8,1,BordH,False,467,56,433,75,399,56,399,17,433,-3,467,16,0,0,9,40,7,0;;;;;;;;;;
9,489,70,0,228,48,False,9,1,BordH,False,523,90,489,109,455,90,455,51,489,31,523,50,0,10,42,41,40,8;;;;;;;;;;
10,546,36,200,200,200,False,10,1,BordH,False,580,56,546,75,512,56,512,17,546,-3,580,16,0,0,11,42,9,0;;;;;;;;;;
11,602,70,0,228,48,False,11,1,BordH,False,636,90,602,109,568,90,568,51,602,31,636,50,0,12,44,43,42,10;;;;;;;;;;r
12,658,36,200,200,200,False,12,1,BordH,False,692,56,658,75,624,56,624,17,658,-3,692,16,0,0,13,44,11,0;;;;;;;;;;
13,714,70,0,228,48,False,13,1,BordH,False,748,90,714,109,680,90,680,51,714,31,748,50,0,14,46,45,44,12;;;;;;;;;;
14,770,36,200,200,200,False,14,1,BordH,False,804,56,770,75,736,56,736,17,770,-3,804,16,0,0,15,46,13,0;;;;;;;;;;
15,826,70,0,228,48,False,15,1,BordH,False,860,90,826,109,792,90,792,51,826,31,860,50,0,16,48,47,46,14;;;;;;;;;;
16,883,36,200,200,200,False,16,1,BordH,False,917,56,883,75,849,56,849,17,883,-3,917,16,0,0,17,48,15,0;;;;;;;;;;
17,939,70,0,228,48,False,17,1,BordH,False,973,90,939,109,905,90,905,51,939,31,973,50,0,18,50,49,48,16;;;;;;;;;;
18,995,36,200,200,200,False,18,1,BordH,False,1029,56,995,75,961,56,961,17,995,-3,1029,16,0,0,19,50,17,0;;;;;;;;;;
19,1051,70,0,228,48,False,19,1,BordH,False,1085,90,1051,109,1017,90,1017,51,1051,31,1085,50,0,20,52,51,50,18;;;;;;;;;;
20,1107,36,200,200,200,False,20,1,BordH,False,1141,56,1107,75,1073,56,1073,17,1107,-3,1141,16,0,0,21,52,19,0;;;;;;;;;;
